BUSINESS_UNIT,JOURNAL_ID,JOURNAL_DATE,FISCAL_YEAR,ACCOUNTING_PERIOD,PROJECT_ID,ACTIVITY_ID,AWARD_ID,FUND_CODE,DEPTID,PROGRAM_CODE,ACCOUNT,ACCOUNT_DESCR,TRANSACTION_SOURCE,SOURCE_DOCUMENT_ID,VENDOR_EMPLOYEE_ID,VENDOR_EMPLOYEE_NAME,TRANSACTION_DESCR,AMOUNT
UNIV1,JR250700535,7/1/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D90015,RDSCI,513000,Graduate Assistant Salaries,PAY,PAY2507006097,E100130,Taylor Reed,Doctoral research appointment,3119.55
UNIV1,JR250700547,7/1/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,581100,Participant Support Costs,AP,VCH2507002421,V200004,Bayou Chemical and Glass Co,Participant travel support,700.79
UNIV1,JR250700062,7/2/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D13040,RDSCI,552100,Consultant Services,AP,VCH2507000282,V200008,University Core Imaging Center,Research methodology consulting,5270.25
UNIV1,JR250700111,7/2/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D12020,RDSCI,512000,Research Staff Salaries,PAY,PAY2507001252,E100110,Reese Patel,Postdoctoral researcher payroll,2861.14
UNIV1,JR250700121,7/2/25,2026,1,PRJ-250417-01,INDIRECT,AWD-FED-25-00417,52010,D12020,RDSCI,590100,Facilities and Administrative Costs,IDC,IDC2507000091,V200008,University Core Imaging Center,Indirect cost assessment,966.29
UNIV1,JR250700121,7/2/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D90015,RDSCI,521000,Fringe Benefits,PAY,PAY2507001360,E100158,Avery Kim,Employer fringe benefit allocation,1313.43
UNIV1,JR250700140,7/2/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D13040,RDSCI,512000,Research Staff Salaries,PAY,PAY2507001578,E100046,Rowan Bennett,Laboratory technician payroll,5019.25
UNIV1,JR250700141,7/2/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D13040,RDSCI,541100,Domestic Travel,TRV,EXP2507000118,V200019,Open Access Journal Services,Domestic conference travel,190.43
UNIV1,JR250700177,7/2/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,531100,Laboratory Supplies,AP,VCH2507000789,V200016,Vector Consulting Associates,Field sampling consumables,416.5
UNIV1,JR250700200,7/2/25,2026,1,PRJ-250417-03,INDIRECT,AWD-FED-25-00417,52010,D14030,RDSCI,590100,Facilities and Administrative Costs,IDC,IDC2507000148,V200009,Precision Field Equipment LLC,Indirect cost assessment,846.4
UNIV1,JR250700213,7/2/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D13040,RDSCI,571100,Publication and Dissemination,AP,VCH2507000957,V200004,Bayou Chemical and Glass Co,Scientific poster printing,3406.55
UNIV1,JR250700255,7/2/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,514000,Temporary Wages,PAY,PAY2507002897,E100066,Avery Gupta,Hourly research assistant wages,283
UNIV1,JR250700339,7/2/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,512000,Research Staff Salaries,PAY,PAY2507003853,E100167,Morgan Owens,Postdoctoral researcher payroll,2408.98
UNIV1,JR250700344,7/2/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D14030,RDSCI,533100,Software and Cloud Services,AP,VCH2507001537,V200012,Academic Conference Network,Data analysis platform subscription,1994.78
UNIV1,JR250700350,7/2/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,512000,Research Staff Salaries,PAY,PAY2507003986,E100083,Taylor Singh,Laboratory technician payroll,1453.84
UNIV1,JR250700356,7/2/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D12010,RDSCI,521000,Fringe Benefits,PAY,PAY2507004058,E100044,Hayden Foster,Benefit pool assessment,1118.15
UNIV1,JR250700447,7/2/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,561100,Core Facility Charges,INT,JRN2507000266,V200005,Quantum Compute Services Inc,Genomics core service charge,3469.94
UNIV1,JR250700454,7/2/25,2026,1,PRJ-250417-05,ADMIN,AWD-FED-25-00417,52010,D14030,RDSCI,511000,Faculty Salaries,PAY,PAY2507005190,E100103,Cameron Patel,Faculty salary allocation,9845.01
UNIV1,JR250700479,7/2/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D90015,RDSCI,531200,Computing and Office Supplies,AP,VCH2507002123,V200015,Coastal State University Research,Data storage media and peripherals,478.28
UNIV1,JR250700507,7/2/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D13040,RDSCI,541200,Foreign Travel,TRV,EXP2507000378,V200014,Midwest University Subaward Office,Foreign field site travel,1272.87
UNIV1,JR250700551,7/2/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D13040,RDSCI,512000,Research Staff Salaries,PAY,PAY2507006268,E100127,Riley Ellis,Laboratory technician payroll,5095.89
UNIV1,JR250700008,7/3/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D13040,RDSCI,513000,Graduate Assistant Salaries,PAY,PAY2507000064,E100149,Logan Harris,Graduate assistant payroll,971.95
UNIV1,JR250700047,7/3/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,561100,Core Facility Charges,INT,JRN2507000018,V200003,Delta Research Instruments LLC,Microscopy core facility usage,623.59
UNIV1,JR250700080,7/3/25,2026,1,PRJ-250417-01,INDIRECT,AWD-FED-25-00417,52010,D13040,RDSCI,590100,Facilities and Administrative Costs,IDC,IDC2507000049,V200010,Data Harbor Cloud Systems,Facilities and administrative cost allocation,16742.31
UNIV1,JR250700083,7/3/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,552100,Consultant Services,AP,VCH2507000365,V200018,Research Participant Services,External statistical consulting,17814.79
UNIV1,JR250700087,7/3/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,551100,Subaward Expenditures,AP,VCH2507000385,V200016,Vector Consulting Associates,Subrecipient cost reimbursement,42825.64
UNIV1,JR250700099,7/3/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,531100,Laboratory Supplies,AP,VCH2507000436,V200005,Quantum Compute Services Inc,Glassware and sample preparation supplies,3877.28
UNIV1,JR250700106,7/3/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,532100,Scientific Equipment,AP,VCH2507000465,V200017,Campus Central Stores,Specialized research equipment,25125.44
UNIV1,JR250700131,7/3/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D12020,RDSCI,512000,Research Staff Salaries,PAY,PAY2507001470,E100099,Jordan Ibrahim,Research scientist payroll,2687.7
UNIV1,JR250700131,7/3/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,512000,Research Staff Salaries,PAY,PAY2507001475,E100134,Hayden Lewis,Research scientist payroll,6973.92
UNIV1,JR250700160,7/3/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D12020,RDSCI,551100,Subaward Expenditures,AP,VCH2507000716,V200011,Genome Analytics Partners,Subaward invoice reimbursement,40859.57
UNIV1,JR250700182,7/3/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D14030,RDSCI,521000,Fringe Benefits,PAY,PAY2507002044,E100024,Alex Martinez,Employer fringe benefit allocation,1922.65
UNIV1,JR250700186,7/3/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D12010,RDSCI,561100,Core Facility Charges,INT,JRN2507000106,V200018,Research Participant Services,High-performance computing recharge,3357
UNIV1,JR250700190,7/3/25,2026,1,PRJ-250417-05,ADMIN,AWD-FED-25-00417,52010,D13040,RDSCI,512000,Research Staff Salaries,PAY,PAY2507002145,E100093,Blake Patel,Laboratory technician payroll,3335.28
UNIV1,JR250700195,7/3/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,521000,Fringe Benefits,PAY,PAY2507002203,E100072,Morgan Turner,Employer fringe benefit allocation,1490.32
UNIV1,JR250700218,7/3/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,513000,Graduate Assistant Salaries,PAY,PAY2507002476,E100094,Quinn Johnson,Graduate research assistant stipend,2639.47
UNIV1,JR250700243,7/3/25,2026,1,PRJ-250417-05,ADMIN,AWD-FED-25-00417,52010,D12020,RDSCI,531100,Laboratory Supplies,AP,VCH2507001093,V200011,Genome Analytics Partners,Reagents and consumable laboratory supplies,366.19
UNIV1,JR250700274,7/3/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,512000,Research Staff Salaries,PAY,PAY2507003116,E100054,Taylor Singh,Research scientist payroll,1966.85
UNIV1,JR250700323,7/3/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D14030,RDSCI,571100,Publication and Dissemination,AP,VCH2507001443,V200008,University Core Imaging Center,Correction: research dissemination expense,-437.47
UNIV1,JR250700337,7/3/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D13040,RDSCI,511000,Faculty Salaries,PAY,PAY2507003826,E100112,Reese Adams,Faculty effort charge,5720.88
UNIV1,JR250700365,7/3/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,513000,Graduate Assistant Salaries,PAY,PAY2507004168,E100146,Sage Owens,Graduate assistant payroll,3149.2
UNIV1,JR250700379,7/3/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D90015,RDSCI,512000,Research Staff Salaries,PAY,PAY2507004321,E100133,Blake Owens,Research scientist payroll,6021.21
UNIV1,JR250700394,7/3/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,581100,Participant Support Costs,AP,VCH2507001754,V200014,Midwest University Subaward Office,Participant stipend,396.93
UNIV1,JR250700444,7/3/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,512000,Research Staff Salaries,PAY,PAY2507005080,E100160,Finley Martinez,Postdoctoral researcher payroll,3159.49
UNIV1,JR250700476,7/3/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,511000,Faculty Salaries,PAY,PAY2507005432,E100095,Sage Singh,Faculty salary allocation,5970.91
UNIV1,JR250700507,7/3/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,521000,Fringe Benefits,PAY,PAY2507005786,E100102,Parker Walker,Payroll fringe charge,3896
UNIV1,JR250700526,7/3/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,513000,Graduate Assistant Salaries,PAY,PAY2507006010,E100130,Taylor Reed,Doctoral research appointment,2315.85
UNIV1,JR250700552,7/3/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,521000,Fringe Benefits,PAY,PAY2507006283,E100025,Finley Gupta,Employer fringe benefit allocation,2309.88
UNIV1,JR250700018,7/4/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,541100,Domestic Travel,TRV,EXP2507000012,V200006,Scholarly Publishing Group,Project collaboration travel,583.04
UNIV1,JR250700029,7/4/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D13040,RDSCI,511000,Faculty Salaries,PAY,PAY2507000325,E100164,Logan Nguyen,Summer research salary,3295.52
UNIV1,JR250700033,7/4/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D13040,RDSCI,511000,Faculty Salaries,PAY,PAY2507000377,E100093,Blake Patel,Faculty salary allocation,4966.23
UNIV1,JR250700067,7/4/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D90015,RDSCI,531100,Laboratory Supplies,AP,VCH2507000304,V200012,Academic Conference Network,Reagents and consumable laboratory supplies,343.3
UNIV1,JR250700091,7/4/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D13040,RDSCI,581100,Participant Support Costs,AP,VCH2507000403,V200010,Data Harbor Cloud Systems,Participant stipend,605.75
UNIV1,JR250700096,7/4/25,2026,1,PRJ-250417-05,ADMIN,AWD-FED-25-00417,52010,D12010,RDSCI,511000,Faculty Salaries,PAY,PAY2507001091,E100138,Blake Ibrahim,Faculty salary allocation,4251.24
UNIV1,JR250700117,7/4/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D90015,RDSCI,531100,Laboratory Supplies,AP,VCH2507000510,V200005,Quantum Compute Services Inc,Credit: field sampling consumables,-165.62
UNIV1,JR250700128,7/4/25,2026,1,PRJ-250417-01,INDIRECT,AWD-FED-25-00417,52010,D12010,RDSCI,590100,Facilities and Administrative Costs,IDC,IDC2507000097,V200009,Precision Field Equipment LLC,Indirect cost assessment,1735.95
UNIV1,JR250700137,7/4/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D12020,RDSCI,513000,Graduate Assistant Salaries,PAY,PAY2507001548,E100125,Riley Johnson,Doctoral research appointment,938.47
UNIV1,JR250700140,7/4/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D13040,RDSCI,512000,Research Staff Salaries,PAY,PAY2507001573,E100068,Alex Harris,Research scientist payroll,2038.21
UNIV1,JR250700171,7/4/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,533100,Software and Cloud Services,AP,VCH2507000769,V200017,Campus Central Stores,Research software license,414.7
UNIV1,JR250700189,7/4/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,512000,Research Staff Salaries,PAY,PAY2507002133,E100118,Sage Gupta,Postdoctoral researcher payroll,3994.46
UNIV1,JR250700205,7/4/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D90015,RDSCI,513000,Graduate Assistant Salaries,PAY,PAY2507002309,E100019,Reese Martinez,Graduate assistant payroll,1325.66
UNIV1,JR250700209,7/4/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,514000,Temporary Wages,PAY,PAY2507002361,E100027,Casey Foster,Student hourly wages,760.12
UNIV1,JR250700307,7/4/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,531100,Laboratory Supplies,AP,VCH2507001376,V200005,Quantum Compute Services Inc,Glassware and sample preparation supplies,60.85
UNIV1,JR250700315,7/4/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D12010,RDSCI,521000,Fringe Benefits,PAY,PAY2507003598,E100158,Avery Kim,Benefit pool assessment,1453.19
UNIV1,JR250700412,7/4/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,513000,Graduate Assistant Salaries,PAY,PAY2507004704,E100009,Logan Diaz,Graduate research assistant stipend,1724.96
UNIV1,JR250700485,7/4/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12020,RDSCI,533100,Software and Cloud Services,AP,VCH2507002146,V200018,Research Participant Services,Research software license,702.94
UNIV1,JR250700528,7/4/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D13040,RDSCI,521000,Fringe Benefits,PAY,PAY2507006022,E100023,Logan Martinez,Payroll fringe charge,869.25
UNIV1,JR250700534,7/4/25,2026,1,PRJ-250417-05,ADMIN,AWD-FED-25-00417,52010,D13040,RDSCI,561100,Core Facility Charges,INT,JRN2507000333,V200003,Delta Research Instruments LLC,High-performance computing recharge,184.02
UNIV1,JR250700057,7/5/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12020,RDSCI,532100,Scientific Equipment,AP,VCH2507000251,V200005,Quantum Compute Services Inc,Specialized research equipment,20656.96
UNIV1,JR250700076,7/5/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,513000,Graduate Assistant Salaries,PAY,PAY2507000864,E100118,Sage Gupta,Graduate assistant payroll,3172.21
UNIV1,JR250700130,7/5/25,2026,1,PRJ-250417-05,ADMIN,AWD-FED-25-00417,52010,D13040,RDSCI,511000,Faculty Salaries,PAY,PAY2507001456,E100118,Sage Gupta,Faculty effort charge,6380.71
UNIV1,JR250700158,7/5/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,521000,Fringe Benefits,PAY,PAY2507001779,E100097,Logan Kim,Benefit pool assessment,1034.28
UNIV1,JR250700196,7/5/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D14030,RDSCI,513000,Graduate Assistant Salaries,PAY,PAY2507002218,E100120,Drew Martinez,Graduate research assistant stipend,2589.83
UNIV1,JR250700228,7/5/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,514000,Temporary Wages,PAY,PAY2507002583,E100071,Cameron Kim,Temporary field staff wages,1280.17
UNIV1,JR250700253,7/5/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,512000,Research Staff Salaries,PAY,PAY2507002875,E100096,Cameron Kim,Laboratory technician payroll,3761.46
UNIV1,JR250700270,7/5/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D90015,RDSCI,521000,Fringe Benefits,PAY,PAY2507003073,E100151,Sage Foster,Benefit pool assessment,3481.67
UNIV1,JR250700275,7/5/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,571100,Publication and Dissemination,AP,VCH2507001242,V200006,Scholarly Publishing Group,Research dissemination expense,977.75
UNIV1,JR250700290,7/5/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D14030,RDSCI,531100,Laboratory Supplies,AP,VCH2507001314,V200007,National Research Travel Services,Glassware and sample preparation supplies,137.47
UNIV1,JR250700315,7/5/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,521000,Fringe Benefits,PAY,PAY2507003591,E100078,Drew Ellis,Benefit pool assessment,1298.29
UNIV1,JR250700316,7/5/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D13040,RDSCI,541100,Domestic Travel,TRV,EXP2507000244,V200010,Data Harbor Cloud Systems,Domestic conference travel,112.1
UNIV1,JR250700371,7/5/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,531200,Computing and Office Supplies,AP,VCH2507001653,V200001,Apex Scientific Supply LLC,Computer accessories and office supplies,732.53
UNIV1,JR250700374,7/5/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,581100,Participant Support Costs,AP,VCH2507001668,V200017,Campus Central Stores,Research subject reimbursement,2077.79
UNIV1,JR250700388,7/5/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,541100,Domestic Travel,TRV,EXP2507000295,V200012,Academic Conference Network,Project collaboration travel,1365.79
UNIV1,JR250700415,7/5/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,512000,Research Staff Salaries,PAY,PAY2507004735,E100162,Emerson Nguyen,Postdoctoral researcher payroll,2374.44
UNIV1,JR250700424,7/5/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,513000,Graduate Assistant Salaries,PAY,PAY2507004840,E100076,Alex Ibrahim,Graduate assistant payroll,2835.64
UNIV1,JR250700442,7/5/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,521000,Fringe Benefits,PAY,PAY2507005052,E100065,Quinn Owens,Employer fringe benefit allocation,479.9
UNIV1,JR250700477,7/5/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,513000,Graduate Assistant Salaries,PAY,PAY2507005435,E100112,Reese Adams,Doctoral research appointment,1686.53
UNIV1,JR250700485,7/5/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D12020,RDSCI,512000,Research Staff Salaries,PAY,PAY2507005540,E100108,Finley Walker,Research scientist payroll,3253.55
UNIV1,JR250700546,7/5/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D13040,RDSCI,511000,Faculty Salaries,PAY,PAY2507006213,E100119,Riley Foster,Faculty salary allocation,7361.82
UNIV1,JR250700045,7/6/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D13040,RDSCI,521000,Fringe Benefits,PAY,PAY2507000514,E100116,Rowan Harris,Payroll fringe charge,1346.75
UNIV1,JR250700060,7/6/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,531100,Laboratory Supplies,AP,VCH2507000273,V200018,Research Participant Services,Glassware and sample preparation supplies,1285.09
UNIV1,JR250700088,7/6/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D13040,RDSCI,512000,Research Staff Salaries,PAY,PAY2507001001,E100043,Hayden Harris,Postdoctoral researcher payroll,2401.99
UNIV1,JR250700103,7/6/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,512000,Research Staff Salaries,PAY,PAY2507001166,E100025,Finley Gupta,Research scientist payroll,2231.04
UNIV1,JR250700107,7/6/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,511000,Faculty Salaries,PAY,PAY2507001206,E100059,Morgan Nguyen,Faculty salary allocation,3166.81
UNIV1,JR250700122,7/6/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12020,RDSCI,512000,Research Staff Salaries,PAY,PAY2507001367,E100111,Morgan Walker,Postdoctoral researcher payroll,2511.2
UNIV1,JR250700149,7/6/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,513000,Graduate Assistant Salaries,PAY,PAY2507001682,E100063,Parker Johnson,Doctoral research appointment,1461.06
UNIV1,JR250700169,7/6/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12020,RDSCI,512000,Research Staff Salaries,PAY,PAY2507001898,E100114,Taylor Lewis,Postdoctoral researcher payroll,1896.02
UNIV1,JR250700195,7/6/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D12020,RDSCI,552100,Consultant Services,AP,VCH2507000876,V200010,Data Harbor Cloud Systems,External statistical consulting,2788.86
UNIV1,JR250700230,7/6/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,512000,Research Staff Salaries,PAY,PAY2507002602,E100140,Taylor Foster,Research scientist payroll,2307.31
UNIV1,JR250700238,7/6/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D12010,RDSCI,521000,Fringe Benefits,PAY,PAY2507002690,E100039,Emerson Harris,Payroll fringe charge,456.55
UNIV1,JR250700283,7/6/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D12010,RDSCI,561100,Core Facility Charges,INT,JRN2507000153,V200012,Academic Conference Network,Genomics core service charge,204.24
UNIV1,JR250700314,7/6/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,533100,Software and Cloud Services,AP,VCH2507001403,V200008,University Core Imaging Center,Cloud computing usage,228.06
UNIV1,JR250700342,7/6/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D12020,RDSCI,531200,Computing and Office Supplies,AP,VCH2507001534,V200005,Quantum Compute Services Inc,General project supplies,24.86
